"Currency","Position","Probability","Odds","Meets Criterion","File"
EURUSD,long,0.4440877878349921,2.0588235294117645,false,eurusd-2017-255-08.json
EURUSD,long,0.4441154150810766,2.3846153846153846,true,usdcad-2017-273-12.json
EURUSD,long,0.4446475031571034,2.2857142857142856,true,usdcad-2017-273-06.json
EURUSD,long,0.4468809673705307,2.1875,false,audusd-2017-257-07.json
EURUSD,long,0.44730939959664684,2.1666666666666665,false,usdchf-2017-278-09.json
EURUSD,long,0.4484060571783153,2.6,true,eurusd-2017-265-10.json
EURUSD,long,0.44855296799425814,2.75,true,eurusd-2017-257-02.json
EURUSD,long,0.44903094028918905,2.3636363636363638,true,usdchf-2017-253-03.json
EURUSD,long,0.44906914870918335,2.7142857142857144,true,usdchf-2017-263-12.json
EURUSD,long,0.4493161577814127,2.466666666666667,true,eurusd-2017-277-01.json
EURUSD,long,0.44969324547431583,2.25,true,nzdusd-2017-260-01.json
EURUSD,long,0.4515792432686023,2.466666666666667,true,nzdusd-2017-271-07.json
EURUSD,long,0.45197158372115426,2.4,true,usdchf-2017-257-01.json
EURUSD,long,0.4541537381982191,2,false,usdchf-2017-272-03.json
EURUSD,long,0.4544705966640371,2.142857142857143,false,eurusd-2017-277-11.json
EURUSD,long,0.45551648469440204,2.769230769230769,true,usdjpy-2017-281-07.json
EURUSD,long,0.45563391001864695,1.8888888888888888,false,eurusd-2017-258-07.json
EURUSD,long,0.4568166839056248,2.2,true,gbpusd-2017-276-03.json
EURUSD,long,0.45733191321060035,2.0588235294117645,false,gbpusd-2017-251-08.json
EURUSD,long,0.45766545897442523,3.0833333333333335,true,nzdusd-2017-278-12.json
EURUSD,long,0.4588668085919846,1.8823529411764706,false,audusd-2017-271-10.json
EURUSD,long,0.4600041617017876,1.9411764705882353,false,eurusd-2017-259-03.json
EURUSD,long,0.4601359385539604,3.25,true,usdcad-2017-268-06.json
EURUSD,long,0.46141632845807806,2.0588235294117645,false,usdchf-2017-263-06.json
EURUSD,long,0.46180707520470304,2.25,true,usdchf-2017-272-05.json
EURUSD,long,0.46187902413239923,1.8888888888888888,false,audusd-2017-255-05.json
EURUSD,long,0.4624313032516616,1.8571428571428572,false,usdchf-2017-256-04.json
EURUSD,long,0.4632605141433178,2.75,true,usdchf-2017-269-06.json
EURUSD,long,0.4645947155214748,2.1818181818181817,true,eurusd-2017-273-05.json
EURUSD,long,0.4651863084989586,1.9333333333333333,false,audusd-2017-257-11.json
EURUSD,long,0.46587434125742516,2.066666666666667,false,usdchf-2017-271-10.json
EURUSD,long,0.4662002426509326,2.5,true,usdchf-2017-281-07.json
EURUSD,long,0.46707336248125825,2.0588235294117645,false,audusd-2017-270-06.json
EURUSD,long,0.46709748813690716,2.4615384615384617,true,audusd-2017-271-03.json
EURUSD,long,0.4701963533317719,2.1875,true,usdchf-2017-255-12.json
EURUSD,long,0.4705324143502109,1.736842105263158,false,gbpusd-2017-257-04.json
EURUSD,long,0.472540637815168,2.466666666666667,true,nzdusd-2017-265-08.json
EURUSD,long,0.4726235148209373,1.8333333333333333,false,usdchf-2017-270-05.json
EURUSD,long,0.4739227774362179,2.3,true,gbpusd-2017-251-01.json
EURUSD,long,0.4758838609006754,3.111111111111111,true,usdchf-2017-273-07.json
EURUSD,long,0.4766800887376104,3.25,true,gbpusd-2017-271-02.json
EURUSD,long,0.47884853247120535,2.6666666666666665,true,eurusd-2017-269-09.json
EURUSD,long,0.47939774326569834,1.9375,false,usdchf-2017-280-03.json
EURUSD,long,0.47962047931759455,2.3846153846153846,true,eurusd-2017-254-04.json
EURUSD,long,0.4798164769668748,1.7857142857142858,false,eurusd-2017-271-06.json
EURUSD,long,0.47992325618746745,2.4285714285714284,true,eurusd-2017-270-03.json
EURUSD,long,0.4824755134567602,2.727272727272727,true,eurusd-2017-253-11.json
EURUSD,long,0.4840909864989374,2.230769230769231,true,usdjpy-2017-265-10.json
EURUSD,long,0.48470304615740967,1.8888888888888888,false,gbpusd-2017-255-08.json
EURUSD,long,0.4849215315739541,2.1875,true,audusd-2017-254-11.json
EURUSD,long,0.4849287838333727,2.25,true,nzdusd-2017-263-06.json
EURUSD,long,0.48538506276629867,2.2857142857142856,true,nzdusd-2017-268-01.json
EURUSD,long,0.48538626119650946,2.2857142857142856,true,usdcad-2017-261-09.json
EURUSD,long,0.4856859153994491,2.6666666666666665,true,gbpusd-2017-254-07.json
EURUSD,long,0.4865613062331528,1.7333333333333334,false,usdchf-2017-265-07.json
EURUSD,long,0.48665318302399097,1.8888888888888888,false,audusd-2017-259-05.json
EURUSD,long,0.48701278400497144,2.9166666666666665,true,gbpusd-2017-267-12.json
EURUSD,long,0.48734429653363975,3,true,nzdusd-2017-269-07.json
EURUSD,long,0.4881085796499831,2.6923076923076925,true,usdcad-2017-271-01.json
